koid	name	op	
KO06074	TU-Exp-0137	rpsO,pnp
KO06075	TU-Exp-0142	yggX,mltC,mutY
KO03356	TU-0195	proA,proB
KO06095	TU-Exp-0315	aspA,dcuA
KO03571	TU-0598	lolA,rarA
KO06092	TU-Exp-0305	uxaA,uxaC
KO03578	TU-0612	serC,aroA
KO03680	TU-0801	kdsA,ychA
KO03689	TU-0819	narG,narH,narJ,narI
KO05683	TU-4108	ftsH,rlmE
KO05686	TU-4112	obgE,yhbE
KO05687	TU-4113	rplU,rpmA
KO05514	TU-3849	yqaA,yqaB
KO03770	TU-0953	curA,mcbR
KO06160	TU-Exp-0567	idnD,idnO,idnT,idnR
KO05332	TU-3554	gatB,gatD,gatY,gatA,gatZ
KO05337	TU-3563	yehD,yehC,yehA,yehB
KO06163	TU-Exp-0576	rraA,menA
KO05555	TU-3914	rlmM,ygdD
KO06164	TU-Exp-0579	nusA,rimP,infB
KO06165	TU-Exp-0586	mtlA,mtlD,mtlR
KO05883	TU-4442	yihP,yihO,yihQ
KO06168	TU-Exp-0596	aceF,aceE
KO05205	TU-3354	rpmI,rplT
KO05206	TU-3360	rpmI,rplT,infC
KO05881	TU-4437	glnA,glnG,glnL
KO05200	TU-3345	btuD,btuE
KO05203	TU-3349	pheS,pheM,pheT
KO03916	TU-1193	znuB,znuC
KO05028	TU-3079	ldcA,cvrA
KO03918	TU-1198	yecD,yecE
KO03919	TU-1200	cmoB,cmoA,yecN
KO03865	TU-1111	yniA,ydiZ
KO03945	TU-1241	yedY,yedZ
KO05070	TU-3148	puuA,puuP
KO04138	TU-1548	ypjJ,ypjF,yfjX,yfjZ,yfjY
KO04135	TU-1543	yfjP,yfjQ
KO04136	TU-1544	yfjS,yfjT,yfjR,ypjK
KO04132	TU-1537	yfjI,yfjJ
KO04027	TU-1364	arnT,arnF,arnD,arnE
KO04026	TU-1363	arnB,arnA,arnT,arnF,arnC,arnD,arnE
KO04750	TU-2642	paoB,paoC,paoA,paoD
KO04008	TU-1339	yejM,yejL
KO04001	TU-1327	lpxT,yeiR
KO05834	TU-4380	yidG,yidF,yidH
KO04005	TU-1334	yejE,yejF
KO04004	TU-1333	yejE,yejB,yejF
KO04790	TU-2700	panE,yajL
KO04793	TU-2706	yajG,ampG
KO04792	TU-2703	cyoD,cyoE,cyoA,cyoC,cyoB
KO04315	TU-1835	panF,yhdT,prmA
KO04642	TU-2460	fimH,fimG,fimF,fimD
KO04641	TU-2459	fimH,fimG,fimF,fimD,fimC
KO04640	TU-2458	fimH,fimG,fimF,fimI,fimD,fimC,fimA
KO04644	TU-2464	uxuA,uxuB
KO04318	TU-1840	yhdJ,yhdU
KO04485	TU-2163	ubiE,ubiB,ubiJ
KO04484	TU-2160	udp,rmuC
KO04487	TU-2167	fre,ubiD
KO04486	TU-2164	tatA,tatC,tatB,tatD
KO04481	TU-2146	pldB,yigL
KO04480	TU-2144	recQ,rhtC
KO04489	TU-2171	trkH,hemG
KO04488	TU-2169	trkH,hemG,pepQ,yigZ
KO04867	TU-2831	ybeX,ybeY,lnt,ybeZ
KO04866	TU-2830	ybeX,lnt
KO04865	TU-2826	gltL,gltJ,gltI,gltK
KO04864	TU-2824	gltL,gltJ,gltK
KO03219	ackA-pta	ackA,pta
KO03218	ydiQRSTD	ydiQ,ydiS,ydiR,fadK,ydiT
KO03215	thrSinfC	thrS,infC
KO03216	nrdEF	nrdF,nrdE
KO03211	yhfG-fic-pabA	yhfG,fic,pabA
KO03212	pyrG-eno	eno,pyrG
KO04265	TU-1752	yqjE,yqjD,yqjC,yqjK
KO04264	TU-1748	yqjA,mzrA
KO03361	TU-0206	yagF,yagE,yagG,yagH
KO03360	TU-0204	mmuM,mmuP
KO03367	TU-0217	insF1,insE1
KO03547	TU-0548	ybiR,mntR
KO04980	TU-3013	pgaC,pgaB,pgaD,pgaA
KO04230	TU-1693	yqhG,yqhH
KO05839	TU-4387	ibpB,ibpA
KO04235	TU-1701	ygiC,ygiB
KO05831	TU-4376	uhpB,ilvB,ilvN,uhpC,uhpA
KO03788	TU-0981	marR,marA,marB
KO03783	TU-0974	lsrG,lsrF
KO03782	TU-0973	lsrC,lsrD,lsrA,lsrB
KO03780	TU-0967	fdnH,fdnG,fdnI
KO05781	TU-4307	bcsZ,bcsB,bcsA,yhjR
KO05783	TU-4314	dppB,dppC,dppA,dppF,dppD
KO05239	TU-3404	yeaY,tsaB,yoaA
KO05238	TU-3403	yeaY,tsaB
KO05232	TU-3396	yoaG,yeaR
KO05010	TU-3054	purB,hflD,mnmA
KO03961	TU-1268	yeeT,yeeS,cbtA,cbeA
KO03960	TU-1267	yeeR,yeeT,yeeS,cbtA,cbeA
KO05014	TU-3058	xisE,intE
KO03965	TU-1274	hisA,hisG,hisI,hisF,hisH,hisB,hisC,hisD
KO03964	TU-1272	hisA,hisL,hisG,hisI,hisF,hisH,hisB,hisC,hisD
KO05307	TU-3508	sbmC,yeeA
KO05300	TU-3490	cbl,nac
KO05302	TU-3492	cobS,cobU,cobT
KO04334	TU-1869	frlD,frlA,frlB,frlC
KO05309	TU-3512	yeeD,yeeE
KO05658	TU-4072	higA,higB
KO04123	TU-1520	yfiN,yfiR,yfiB
KO04121	TU-1518	pheA,pheL
KO04124	TU-1521	yfjD,ypjD
KO03435	TU-0347	recR,ybaB
KO04016	TU-1351	atoC,atoS
KO04017	TU-1352	atoB,atoD,atoE,atoA
KO04019	TU-1355	yfaE,nrdA,nrdB
KO03826	TU-1042	malX,malY
KO05835	TU-4382	yidK,yidJ
KO04783	TU-2688	sbcD,sbcC
KO04300	TU-1806	yhcA,yhcD
KO04655	TU-2487	bglJ,yjjQ
KO04657	TU-2489	prfC,yjjG,rimI,holD
KO04658	TU-2490	osmY,ytjA
KO04659	TU-2495	yjjV,yjjU
KO04498	TU-2182	hemN,yihI
KO04873	TU-2839	umpH,nagC
KO04874	TU-2841	umpH,nagC,nagA,nagB
KO04875	TU-2842	fur,uof
KO04877	TU-2850	ybfE,ybfF
KO03208	sucBCD	sucB,sucC,sucD
KO03209	yejABEF	yejA,yejE,yejB,yejF
KO03203	thrABC	thrC,thrB,thrA
KO03201	fucPIK	fucI,fucP,fucK
KO03206	sdhC-sucD	sdhD,sdhA,sdhB,sdhC
KO03207	sucAB	sucA,sucB
KO03204	ilvGMEDA	ilvM,ilvD,ilvA,ilvE
KO04278	TU-1769	yraK,yraJ,yraI,yraH
KO04279	TU-1770	yraP,diaA,yraN,lpoA
KO04276	TU-1767	agaS,kbaY,kbaZ,agaV
KO04277	TU-1768	agaI,agaD,agaB,agaC
KO04275	TU-1766	prlF,yhaV
KO04273	TU-1761	yhaB,yhaC
KO03374	TU-0230	yahJ,yahI
KO03373	TU-0228	yahF,yahG,yahE,yahD
KO03370	TU-0221	ykgG,ykgE,ykgF
KO04241	TU-1712	yqiI,yqiH
KO03559	TU-0571	ybjC,nfsA,rimK,ybjN
KO03552	TU-0556	yliE,yliF
KO03550	TU-0553	gsiA,iaaA,gsiD,gsiB,gsiC
KO05538	TU-3881	cysN,cysC,cysD
KO05829	TU-4373	yicN,yicO
KO05530	TU-3872	hycG,hycI,hycB,hycA,hycF,hycE,hycD,hycC,hycH
KO05821	TU-4363	rpmB,rpmG
KO05534	TU-3876	nlpD,rpoS
KO05535	TU-3877	pcm,umpG
KO03797	TU-0996	ydfO,ynfO
KO05796	TU-4332	yiaJ,ysaA
KO05794	TU-4329	xylA,xylB
KO05793	TU-4328	yiaB,yiaA
KO05799	TU-4335	yiaW,yiaV
KO05224	TU-3385	ydjL,ydjG,ydjJ,ydjK,ydjH,ydjI
KO05225	TU-3386	yeaC,msrB
KO05220	TU-3381	selD,topB
KO05221	TU-3382	ydjA,selD,topB
KO03973	TU-1288	baeS,baeR,mdtD
KO05009	TU-3051	phoQ,phoP
KO03979	TU-1296	yegT,yegU,yegV
KO05312	TU-3517	yoeB,yefM
KO05311	TU-3516	yeeZ,yeeY
KO05317	TU-3528	wbbH,wbbK,wbbJ,wbbI,glf
KO05642	TU-4044	nudF,yqiB
KO05318	TU-3532	wbbH,wbbK,wbbJ,wbbI,glf,wzxB
KO05319	TU-3535	wbbH,wbbK,wbbJ,wbbI,glf,wzxB,rfbC,rfbA
KO05649	TU-4061	glnE,ygiF
KO06106	TU-Exp-0360	gadX,gadA
KO06107	TU-Exp-0362	purB,hflD
KO06105	TU-Exp-0358	ilvM,ilvL,ilvD,ilvA,ilvE
KO03589	TU-0629	ycbK,ycbL
KO06068	TU-Exp-0105	hisA,hisI,hisF,hisH,hisB
KO03421	TU-0331	fadM,ybaV,ppiD
KO03585	TU-0624	ycaR,kdsB
KO03584	TU-0623	lpxK,msbA,ycaQ
KO03587	TU-0626	mukB,smtA,mukF,mukE
KO05011	TU-3055	nudJ,rluE
KO06078	TU-Exp-0151	nudB,ruvC,yebC
KO04064	TU-1415	yfeD,yfeC
KO05015	TU-3061	cohE,ymfJ
KO04069	TU-1424	ptsH,crr,ptsI
KO04668	TU-2513	creA,creC,creB
KO04661	TU-2502	deoD,deoB
KO04660	TU-2497	deoC,deoD,deoB,deoA
KO04663	TU-2505	radA,nadR,serB
KO04469	TU-2118	wzzE,wecC,wecB,wzxE,wzyE,wecD,wecE,rffH,rffG,wecG
KO04468	TU-2116	wzzE,wecA,wecC,wecB,wzxE,wzyE,wecD,wecE,rffH,rffG,wecG
KO04463	TU-2098	ilvM,ilvL,ilvD,ilvA,ilvE
KO03567	TU-0586	macA,macB
KO04684	TU-2541	apaG,rsmA,pdxA,surA,apaH
KO04683	TU-2539	apaG,rsmA,apaH
KO04682	TU-2536	apaG,apaH
KO04681	TU-2535	caiC,caiB,caiA,caiD,caiE,caiT
KO04680	TU-2534	caiC,caiB,caiD,caiE
KO04689	TU-2551	thiP,thiQ,thiB
KO04688	TU-2550	araD,araB,araA
KO03562	TU-0574	potF,potG,potH,potI,ybjO
KO06081	TU-Exp-0201	rnpA,rpmH
KO04208	TU-1654	scpA,scpC,scpB,argK
KO03568	TU-0590	clpA,clpS
KO03303	TU-0087	aceF,aceE,lpd
KO03302	TU-0086	aceF,aceE,lpd,pdhR
KO03301	TU-0084	ampE,ampD
KO03309	TU-0105	yadG,yadH,yadI
KO04842	TU-2793	ybdM,ybdN
KO04848	TU-2802	citT,citG,citE,citD,citX,citF,citC
KO04518	TU-2218	uspD,yiiS
KO03522	TU-0489	tolB,pal,ybgF
KO03521	TU-0488	tolQ,ybgC,tolA,tolR
KO06139	TU-Exp-0468	ihfA,pheS,pheM,pheT
KO06138	TU-Exp-0467	treB,treC
KO06134	TU-Exp-0458	sdaB,sdaC
KO06132	TU-Exp-0451	zraS,zraR
KO06131	TU-Exp-0447	relA,mazF,mazE
KO06130	TU-Exp-0441	lsrC,lsrD,lsrA,lsrB,tam,lsrG,lsrF
KO03635	TU-0706	flgI,flgJ,flgH,flgG
KO03634	TU-0704	flgD,flgC,flgF,flgE,flgB
KO03632	TU-0701	yceM,murJ,rimJ,yceH
KO03639	TU-0711	yceD,rpmF
KO05819	TU-4361	waaJ,waaR,waaZ,waaY,waaU,waaG,waaP,waaQ,waaB,waaS
KO05818	TU-4360	waaJ,waaR,waaZ,waaY,waaU,waaG,waaP,waaB,waaS
KO05811	TU-4350	kbl,tdh
KO05815	TU-4356	waaJ,waaZ,waaY,waaU
KO05814	TU-4353	waaZ,waaY,waaU
KO05817	TU-4359	waaJ,waaR,waaZ,waaY,waaU,waaP,waaB,waaS
KO05816	TU-4358	waaJ,waaR,waaZ,waaY,waaU,waaB
KO05903	TU-4472	yiiX,metJ
KO05251	TU-3422	yebZ,yobA,yebY
KO05255	TU-3427	yebF,yebG
KO05495	TU-3814	aroF,tyrA
KO05494	TU-3812	yfiH,rluD
KO05496	TU-3815	rpsP,rimM,trmD,rplS
KO05499	TU-3820	ratB,ratA
KO04359	TU-1913	yhhN,zntA
KO05675	TU-4095	rpsO,rbfA,truB
KO05676	TU-4096	rpsO,rbfA,truB,nusA,rimP,infB
KO05102	TU-3194	hokB,mokB
KO05109	TU-3204	ydcZ,mnaT
KO03899	TU-1171	manZ,manY
KO03898	TU-1169	manZ,manX,manY
KO03892	TU-1161	yeaV,yeaW,yeaX
KO03895	TU-1166	nudL,pabB
KO04073	TU-1441	murP,murQ
KO04075	TU-1444	amiA,hemF
KO04078	TU-1450	yffN,yffM
KO04079	TU-1451	yffO,yffP
KO05692	TU-4123	mtgA,elbB
KO04678	TU-2529	caiD,caiE
KO04679	TU-2533	caiC,caiD,caiE
KO04676	TU-2523	mokC,hokC
KO04675	TU-2522	yaaW,yaaI
KO04476	TU-2135	yifL,xerC,yigA,yigB,dapF
KO04470	TU-2122	wecC,wecB,wzxE,wzyE,wecD,wecE,rffH,rffG,wecG
KO04694	TU-2559	hofC,hofB
KO04690	TU-2552	thiP,thiQ,sgrR,thiB
KO04691	TU-2553	leuA,leuL,leuC,leuB,leuD
KO04692	TU-2555	zapD,yacG
KO04693	TU-2558	zapD,coaE,yacG
KO04699	TU-2566	speD,speE
KO05263	TU-3443	nudB,aspS,yebC
KO04212	TU-1663	yggI,endA,galP
KO04213	TU-1664	gshB,rsmE
KO04214	TU-1666	yqgE,yqgF
KO04215	TU-1668	yggU,yggT,yggS,yggW,rdgB
KO04216	TU-1669	yggW,rdgB
KO04217	TU-1675	yggX,mltC
KO05261	TU-3440	ruvB,ruvA
KO03314	TU-0113	fhuC,fhuA,fhuB,fhuD
KO03315	TU-0115	fhuC,fhuB,fhuD
KO03319	TU-0126	degP,cdaR
KO04857	TU-2814	rlpA,mrdB,mrdA,rlmH,rsfS
KO04858	TU-2817	cobC,nadD
KO04859	TU-2818	cobC,nadD,lptE,holA,leuS
KO04509	TU-2197	rhaR,rhaS
KO03760	TU-0940	tehB,tehA
KO03530	TU-0506	modB,modC,modA
KO03532	TU-0513	ybhJ,ybhI,ybhH
KO03535	TU-0517	moaA,moaB,moaC,moaD,moaE
KO03536	TU-0519	moaB,moaC,moaD,moaE
KO06128	TU-Exp-0429	ispH,fkpB,lspA,ileS
KO06129	TU-Exp-0437	hcaE,hcaC,hcaB,hcaD,hcaF
KO06126	TU-Exp-0427	ispH,fkpB,lspA
KO06127	TU-Exp-0428	ispH,fkpB,ribF,lspA,ileS
KO06120	TU-Exp-0411	hypE,hypC,hypD,hypB
KO06121	TU-Exp-0416	hypE,hypC,hypD,hypA,hypB
KO06123	TU-Exp-0421	ispE,lolB,prs
KO03624	TU-0690	ycdY,ycdX
KO03626	TU-0693	ymdA,csgB,csgA,csgC
KO03623	TU-0685	ghrA,ycdY,ycdX
KO03628	TU-0695	ymdB,clsC
KO03629	TU-0696	opgG,opgH
KO05807	TU-4346	gpsA,secB
KO05804	TU-4343	yibH,yibI
KO05802	TU-4339	selB,selA
KO05808	TU-4347	grxC,gpsA,secB
KO04504	TU-2192	yiiD,yihY,dtd,yihX
KO04500	TU-2188	yihM,yihL
KO03836	TU-1061	ydhI,ydhJ,ydhK
KO03831	TU-1050	rsxA,rsxB,rsxC,nth,rsxE,rsxG,rsxD,ydgK
KO04503	TU-2191	yiiD,yihV,yihY,dtd,yihW,yihX
KO03832	TU-1051	rsxA,rsxB,rsxC,nth,rsxE,rsxG,rsxD
KO05243	TU-3410	cspC,yobF
KO05244	TU-3412	mgrB,yebO
KO05247	TU-3417	proQ,prc
KO05248	TU-3418	proQ,prc,msrC
KO05482	TU-3789	lepB,lepA
KO05483	TU-3790	rseB,rseC,rseA
KO05481	TU-3785	acpS,era,rnc,pdxJ,recO
KO03812	TU-1020	ynfG,ynfH,dmsD
KO04155	TU-1578	srlQ,srlR
KO05068	TU-3145	sapD,sapF,sapB,sapC,sapA,ycjD
KO06192	TU-Exp-0803	rpsA,cmk
KO04510	TU-2199	kdgT,sodA
KO05669	TU-4086	yhbS,yhbT
KO05667	TU-4084	yraQ,yraR
KO05662	TU-4076	yhaO,yhaM
KO05663	TU-4077	tdcE,tdcC,tdcB,tdcA,tdcG,tdcD,tdcF
KO05660	TU-4074	uxaA,ygjV,uxaC
KO05114	TU-3211	narZ,narU,narW,narY,narV
KO03880	TU-1140	ansA,pncA
KO03883	TU-1150	yeaH,yeaG
KO04048	TU-1390	gtrB,gtrA,gtrS
KO04247	TU-1723	rpsU,dnaG
KO04246	TU-1722	ttdT,ttdA,ttdB
KO04198	TU-1638	guaD,ygfQ
KO04196	TU-1636	xdhD,ygfM,ygfK,ssnA
KO04997	TU-3034	flgM,flgN,flgA
KO04996	TU-3033	flgM,flgN
KO04994	TU-3031	grxB,yceB
KO04228	TU-1690	yqhD,dkgA
KO03408	TU-0285	yajC,secF,secD
KO03409	TU-0288	secF,secD
KO03404	TU-0276	proY,brnQ
KO03407	TU-0280	tgt,queA
KO03328	TU-0156	dnaE,lpxB,rnhB,fabZ,lpxA
KO03325	TU-0143	bamA,rseP
KO06204	TU-Exp-0863	gltF,gltD,gltB
KO03327	TU-0147	lpxD,skp
KO03321	TU-0130	tsf,rpsB
KO06203	TU-Exp-0861	radA,serB
KO04533	TU-2254	secE,nusG
KO04532	TU-2251	birA,murB
KO04535	TU-2259	rpoB,rpoC,rplL,rplJ
KO04534	TU-2257	rpoB,rpoC,rplL,rplK,rplA,rplJ
KO04536	TU-2265	rpoB,rpoC
KO04539	TU-2272	nfi,hemE
KO04538	TU-2270	nfi,nudC,hemE
KO03403	TU-0275	phoR,phoB
KO06111	TU-Exp-0376	pgk,epd,fbaA
KO06110	TU-Exp-0374	uraA,upp
KO06113	TU-Exp-0379	era,rnc
KO06112	TU-Exp-0378	acpS,pdxJ
KO06114	TU-Exp-0386	nuoN,nuoM
KO06116	TU-Exp-0392	bcsZ,bcsB,bcsA
KO03611	TU-0666	torD,torA,torC
KO03618	TU-0676	efeB,efeO
KO05871	TU-4425	yigI,rarD
KO05870	TU-4424	yigG,yigF
KO05877	TU-4431	mobA,mobB
KO05876	TU-4430	fadA,fadB
KO03505	TU-0461	rhsC,ybfB
KO03501	TU-0453	pgm,seqA
KO03500	TU-0450	chiP,chiQ
KO05583	TU-3950	yqeC,yqeB
KO05587	TU-3960	cptA,sdhE
KO05586	TU-3958	recJ,xerD,dsbC
KO05585	TU-3955	prfB,lysS
KO05584	TU-3954	ygfT,ygfS
KO05734	TU-4210	gph,trpS,dam,rpe
KO05278	TU-3461	uvrC,uvrY
KO05735	TU-4211	damX,gph,trpS,dam,rpe
KO05905	TU-4477	gldA,frwA,fsaB
KO05270	TU-3452	otsB,otsA
KO05737	TU-4214	hofP,hofO,hofQ,hofN,hofM
KO05479	TU-3782	pgpC,tadA
KO05476	TU-3778	yfhG,glrR
KO05473	TU-3773	yphB,yphC,yphD,yphE,yphF,yphG
KO05472	TU-3772	yphB,yphC,yphD,yphE,yphF
KO05471	TU-3770	yphB,yphC,yphD
KO05470	TU-3768	hcaR,hcaT
KO05294	TU-3483	yedW,yedV
KO05293	TU-3481	yedR,yedJ
KO05292	TU-3480	dcm,vsr
KO05291	TU-3479	yedI,yodC
KO05049	TU-3114	yciU,clsA
KO05613	TU-4005	trmI,yggL
KO05123	TU-3222	dosP,dosC
KO05122	TU-3221	ddpX,ddpD,ddpC,ddpB,ddpA,ddpF
KO05126	TU-3226	gadC,gadB
KO05129	TU-3229	ydeN,ydeM
KO05128	TU-3228	yddB,yddA
KO05055	TU-3122	trpA,trpB,trpC
KO05054	TU-3121	yciF,yciE,yciG
KO05725	TU-4189	yheO,tusB,tusD,tusC
KO05724	TU-4187	rpsG,rpsL,fusA
KO05728	TU-4196	kefB,kefG,yheV
KO04059	TU-1407	ypdA,ypdB
KO04051	TU-1395	yfdP,yfdQ,yfdR,yfdS,yfdT
KO04056	TU-1401	evgA,evgS
KO04054	TU-1398	dsdX,dsdA
KO03983	TU-1302	yehI,yehK
KO03984	TU-1303	yehM,yehP,yehL
KO04456	TU-2086	rbsC,rbsB,rbsA,rbsD
KO04453	TU-2080	cbrB,cbrC
KO04451	TU-2076	yieE,chrR
KO04187	TU-1626	yqeJ,yqeI
KO03423	TU-0333	ybaO,mdlB,mdlA
KO04982	TU-3016	csgD,csgG,csgE,csgF
KO04231	TU-1694	qseB,qseC
KO04988	TU-3024	yceJ,yceI
KO03338	TU-0170	yafD,yafE
KO03332	TU-0163	nlpE,arfB,yaeQ
KO03331	TU-0162	yaeR,tilS
KO04528	TU-2246	fabR,yijD
KO04529	TU-2248	murI,btuB
KO04526	TU-2242	argB,argC,argH
KO04525	TU-2239	frwC,frwD,frwB,pflD,pflC
KO04521	TU-2231	metL,metB
KO03196	spoT	recG,spoT,trmH,gmk,rpoZ
KO03197	relBEF	relB,relE,hokD
KO03195	gspC-O	gspF,gspE,gspD,gspC,gspH,gspG,gspI,gspJ,gspM,gspO,gspK,gspL
KO03192	ygbPB	ispF,ispD
KO03198	alsRBACEK	alsC,alsB,alsA,alsK,alsR,alsE
KO03199	gabDTPC	csiR,gabD,gabP,gabT
KO06104	TU-Exp-0356	ychQ,kdsA,ychA
KO03425	TU-0335	glnK,amtB
KO06102	TU-Exp-0347	yajC,tgt
KO06100	TU-Exp-0338	rpsU,dnaG,rpoD
KO06108	TU-Exp-0367	rpsO,pnp,rbfA,truB,nusA,rimP,infB
KO03604	TU-0659	cbdB,cbdA,appA,cbdX
KO03603	TU-0658	hyaF,hyaE,hyaD,hyaC,hyaB,hyaA
KO05864	TU-4417	rhlB,gpp
KO05866	TU-4419	hemY,hemX
KO05867	TU-4421	hemE,hemY,hemX,hemD
KO03512	TU-0470	nei,ybgL,ybgK,ybgJ,ybgI
KO03513	TU-0472	nei,ybgL
KO03511	TU-0469	phr,ybgA
KO03516	TU-0477	sucA,sucB,sucC,sucD
KO03517	TU-0480	mngA,mngB
KO03514	TU-0474	sdhD,sdhA,sucA,sucB,sdhB,sucC,sucD,sdhC
KO03515	TU-0475	sdhA,sdhB
KO03518	TU-0481	cydA,cydB
KO05592	TU-3965	gcvP,gcvH,gcvT
KO05593	TU-3967	pepP,ygfB,ubiI,ubiH
KO06159	TU-Exp-0565	hydN,hypF
KO05268	TU-3448	flhD,flhC
KO05914	TU-4489	thiC,thiE,thiH,thiG,thiS,thiF
KO05260	TU-3438	znuA,mepM
KO05917	TU-4494	purD,purH
KO05266	TU-3446	flhB,cheZ,cheY,cheB,cheR,tap,tar,flhE,flhA
KO05267	TU-3447	motA,cheA,motB,cheW
KO05264	TU-3444	torY,torZ
KO05265	TU-3445	yecM,cutC
KO05468	TU-3766	iscR,iscS,iscU
KO05464	TU-3758	pbpC,yfhM
KO05465	TU-3761	sseB,pepB
KO05466	TU-3763	iscX,fdx,hscA
KO05467	TU-3764	hscB,iscA
KO05460	TU-3751	rodZ,ispG
KO03813	TU-1021	ynfH,dmsD
KO05280	TU-3465	yecS,yecC
KO05281	TU-3466	yecS,dcyD,yecC
KO05283	TU-3470	fliZ,fliA
KO06151	TU-Exp-0522	pgk,fbaA
KO03811	TU-1018	ynfG,ynfF,ynfH,dmsD
KO03470	TU-0398	rzoD,rrrD,essD,rzpD
KO03810	TU-1016	ynfG,ynfF,ynfE,ynfH,dmsD
KO06152	TU-Exp-0525	fecI,fecR
KO05602	TU-3983	pgk,epd
KO05603	TU-3984	yggC,yggD
KO05604	TU-3985	yggF,yggP,cmtB,cmtA
KO05139	TU-3240	yneF,uxaB
KO05137	TU-3237	lsrR,lsrK
KO05134	TU-3234	ydeS,ydeR
KO05135	TU-3235	hipA,hipB
KO05133	TU-3233	ydeS,ydeR
KO05130	TU-3230	safA,ydeO
KO05067	TU-3142	sapD,sapF,sapB,sapC,ycjD
KO05042	TU-3099	narL,narX
KO05731	TU-4205	yhfU,php,yhfS,yhfT,yhfX,yhfW,yhfZ,yhfY
KO05045	TU-3102	ychJ,purU
KO03270	TU-0022	nhaR,nhaA
KO04747	TU-2639	yagL,yagM
KO04033	TU-1372	alaA,yfbR
KO03996	TU-1318	yeiI,nfo
KO03992	TU-1313	sanA,yeiS
KO03993	TU-1314	preT,preA
KO03990	TU-1311	yohJ,yohK
KO04423	TU-2025	dut,slmA
KO04422	TU-2024	dfp,dut,slmA
KO04420	TU-2022	coaD,waaA
KO04427	TU-2034	recG,spoT,trmH,rpoZ
