koid	name	op	
KO05711	TU-4163	yrdB,aroE,tsaC,yrdD
KO06077	TU-Exp-0150	ruvC,yebC
KO03595	TU-0640	rlmL,uup
KO05007	TU-3049	potA,potB,potC,potD
KO04394	TU-1980	insJ,insK
KO04397	TU-1983	xylR,xylH,xylG,xylF
KO04159	TU-1583	fhlA,hypE,hypC,hypD,hypA,hypB
KO04158	TU-1582	ascB,ascF
KO04401	TU-1988	sgbE,sgbU,sgbH,lyxK,yiaN,yiaO,yiaL,yiaK,yiaM
KO04151	TU-1573	emrA,emrB
KO06097	TU-Exp-0321	garR,garK,garP,garL
KO03573	TU-0604	dmsA,dmsB,dmsC
KO04718	TU-2603	rof,yaeP
KO04710	TU-2588	sfsA,ligT
KO04712	TU-2592	yadS,mtn,btuF
KO04717	TU-2600	map,glnD
KO04975	TU-3002	yccJ,wrbA
KO04974	TU-2999	cbpM,cbpA
KO04977	TU-3006	rutA,rutB,rutC,rutE,rutD,rutG,rutF
KO06098	TU-Exp-0323	gntU,gntK,gntR
KO04193	TU-1633	xdhC,xdhB,xdhA
KO04443	TU-2064	yidC,rnpA,rpmH,yidD
KO04576	TU-2335	yjcZ,crfC
KO04573	TU-2326	nrfB,nrfG,nrfE,nrfC,nrfD,nrfA,nrfF
KO04579	TU-2342	melB,melA
KO04373	TU-1937	arsB,arsR
KO04371	TU-1934	rlmJ,gor
KO04194	TU-1634	yqeA,ygeW,ygeX,ygeY,hyuA
KO04379	TU-1953	mdtF,mdtE
KO04378	TU-1947	gadE,mdtF,mdtE
KO05062	TU-3133	yciT,yciZ
KO03383	TU-0245	mhpE,mhpF,mhpD,mhpA,mhpB,mhpC
KO03382	TU-0244	cynT,cynS,cynX
KO03381	TU-0242	codA,codB
KO03387	TU-0251	tauD,tauB,tauC,tauA
KO03386	TU-0249	insC1,insD1
KO03478	TU-0407	cusF,cusA,cusB
KO06155	TU-Exp-0534	focA,pflB
KO06154	TU-Exp-0532	fliZ,fliA,fliY
KO06156	TU-Exp-0559	prfA,hemA,prmC
KO06150	TU-Exp-0518	edd,eda
KO06153	TU-Exp-0531	fur,fldA,uof
KO03278	TU-0041	fixC,fixB,fixA,fixX
KO03276	TU-0036	carA,carB
KO03274	TU-0030	ispH,fkpB,rihC
KO03272	TU-0026	ribF,ileS
KO05641	TU-4043	cpdA,yqiA
KO03496	TU-0440	djlC,ybeU
KO03495	TU-0439	ybeR,djlB
KO05760	TU-4265	ftsX,ftsE,ftsY
KO06027	TU-4630	yjiK,yjiM,yjiL,yjiN,yjiJ
KO06026	TU-4629	yjiG,yjiH
KO03729	TU-0900	ydaV,rzoR,ydaS,ydaT,ydaU
KO05943	TU-4522	phnP,phnO
KO05942	TU-4521	rpiB,alsR
KO05941	TU-4520	alsC,alsA,alsK,alsE
KO05947	TU-4527	basR,basS
KO05944	TU-4523	phnN,phnL,phnP,phnO,phnM,phnJ,phnI,phnK,phnF,phnH,phnD,phnG,phnC
KO05948	TU-4529	adiC,adiY
KO05432	TU-3702	cysW,cysA,cysU,cysM,cysP
KO05437	TU-3710	eutR,eutK,eutL,eutB,eutC
KO05436	TU-3707	ypeA,yfeX,yfeY,yfeZ
KO05439	TU-3714	eutG,eutN,eutE,eutJ
KO05438	TU-3713	eutH,eutA
KO03653	TU-0750	nagK,cobB
KO03652	TU-0749	lolC,lolD,lolE
KO03659	TU-0764	stfP,tfaP
KO03658	TU-0763	ymfM,ymfL,croE,ymfQ,ymfR
KO05387	TU-3628	nuoN,nuoM,nuoL,nuoK,nuoG,nuoH,nuoI,nuoJ,nuoB,nuoC,nuoE,nuoF,nuoA
KO05381	TU-3621	menC,menE,menB
KO05382	TU-3622	menC,menE,menH,menB,menF,menD
