koid	op
KO06150	edd,eda
KO06153	fldA,uof,fur
KO03278	fixA,fixB,fixC,fixX
KO03276	carA,carB
KO03274	fkpB,ispH,rihC
KO03272	ribF,ileS
KO05641	cpdA,yqiA
KO03496	ybeU,djlC
KO03495	ybeR,djlB
KO05760	ftsY,ftsE,ftsX
KO06027	yjiN,yjiM,yjiL,yjiK,yjiJ
KO06026	yjiH,yjiG
KO03729	ydaS,ydaT,ydaU,ydaV,rzoR
KO05943	phnO,phnP
KO05941	alsA,alsC,alsE,alsK
KO05947	basR,basS
KO05944	phnC,phnD,phnF,phnG,phnH,phnI,phnJ,phnK,phnL,phnM,phnN,phnO,phnP
KO05948	adiY,adiC
KO05432	cysP,cysU,cysW,cysA,cysM
KO05437	eutB,eutC,eutL,eutK,eutR
KO05436	ypeA,yfeZ,yfeY,yfeX
KO05439	eutN,eutE,eutJ,eutG
KO05438	eutH,eutA
KO03653	nagK,cobB
KO03652	lolC,lolD,lolE
KO03659	stfP,tfaP
KO03658	croE,ymfL,ymfM,ymfR,ymfQ
KO05387	nuoA,nuoB,nuoC,nuoE,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,nuoN
KO05381	menB,menC,menE
KO05382	menF,menD,menH,menB,menC,menE
KO05891	cpxR,cpxA
KO05547	mazE,mazF,mazG
KO05545	ygcW,ygcU,ygcS,ygcR,ygcQ
KO05544	cysJ,cysI,cysH
KO05542	casA,casB,casC,casD,casE,ygbT,ygbF
KO05541	casD,casE,ygbT,ygbF
KO05540	casE,ygbT,ygbF
KO05367	ada,alkB
KO05361	rsuA,bcr
KO05368	ompC,apbE
KO03875	ydjY,ydjZ,ynjA,ynjB,ynjC,ynjD,ynjE
KO03874	ydjX,ydjY,ydjZ,ynjA,ynjB,ynjC,ynjD,ynjE
KO03876	ynjA,ynjB,ynjC,ynjD,ynjE
KO05098	paaZ,tynA
KO05769	prlC,rsmJ
KO05764	yhiI,rbbA,yhhJ
KO05164	pntA,pntB
KO05167	fumA,fumC
KO05163	mdtJ,mdtI
KO05168	uidA,uidB,uidC
KO04389	tag,yiaC
KO05335	thiM,thiD,yegX
KO04386	bcsE,bcsF,bcsG
KO04418	hldD,waaF,waaC,waaL
KO04149	ygaZ,ygaH
KO04413	lldP,lldR,lldD
KO04411	mtlD,mtlR
KO04416	envC,yibQ
KO04141	csiD,lhgO,gabD,gabT,gabP,csiR
KO04143	ygaV,ygaP
KO04706	htrE,yadM
KO04705	yadL,yadK
KO04703	panB,panC
KO04709	pcnB,folK
KO04962	yccF,yccS
KO04562	yjbL,yjbM
KO04563	dusA,pspG
KO04567	yjbQ,yjbR
KO04564	dnaB,alr
KO04366	rhsB,yhhH
KO03398	yaiA,aroM
KO03394	phoA,psiF
KO03397	aroL,yaiA,aroM
KO06148	cusC,cusF,cusB,cusA
KO06149	dcuB,fumB
KO06140	csiD,lhgO,gabD,gabT,gabP
KO06141	gabD,gabT,gabP
KO06147	csgB,csgA,csgC
KO06144	asnC,mioC,mnmG
KO03324	ispU,cdsA
KO03266	dnaK,dnaJ
KO03260	glgB,glgX
KO03261	cutA,dsbD
KO03262	thrA,thrB,thrC
KO03263	thrB,thrC
KO03484	entC,entE,entB,entA,entH
KO03485	cstA,ybdD
KO03487	ahpC,ahpF
KO03481	fes,ybdZ,entF
KO06201	glpF,glpK,glpX
KO03489	citA,citB
KO03323	frr,dxr
KO06032	hsdM,hsdS
KO06033	yjiX,yjiA
KO06030	mcrB,mcrC
KO06038	dnaT,dnaC,yjjA
KO06039	yjjP,yjjB
KO03822	rstA,rstB
KO03820	ydgH,ydgI
KO03739	paaA,paaB,paaC,paaD,paaE,paaF,paaG,paaH,paaI,paaJ,paaK
KO03736	ydbH,ynbE,ydbL
KO03737	ynbE,ydbL
KO03733	stfR,tfaR
KO05951	dcuB,fumB,yjdF
KO05953	dcuS,dcuR
KO05956	cadB,cadA
KO05420	fryB,fryC,ypdF,ypdE,fryA
KO05427	xapA,xapB
KO05429	ligA,ypeB
KO03642	acpP,fabF
KO03643	pabC,yceG,tmk,holB,ycfH
KO03646	hinT,ycfL,lpoB,thiK,nagZ,ycfP
KO03647	nagZ,ycfP
KO03644	tmk,holB,ycfH
KO04146	nrdH,nrdI,nrdE,nrdF
KO04415	gpmM,envC,yibQ
KO05399	accD,folC
KO05392	yfcE,yfcD
KO05390	yfbU,yfbT
KO05397	cvpA,purF,ubiX
KO05395	hisJ,hisQ,hisM,hisP
KO05888	frvA,frvB,frvX,frvR
KO05889	rhaB,rhaA,rhaD,rhaM
KO05554	fucA,fucO
KO05887	fdoG,fdoH,fdoI
KO05885	yihU,yihT,yihS
KO05550	gudP,gudX,gudD
KO05551	yqcC,truC,yqcA
KO05880	glnL,glnG
KO05375	glpT,glpQ
KO05376	rhmR,rhmD,rhmT,rhmA
KO05370	yfaA,yfaT,yfaQ,yfaP
KO05086	kilR,ydaE
KO05087	ydaG,ydaF
KO05084	recE,recT,ralR,rcbA,ydaQ,intR
KO05080	abgA,abgB,abgT
KO05771	hdeA,hdeB,yhiD
KO05174	tyrS,pdxY
KO05175	pdxH,tyrS,pdxY
KO04173	fucU,fucR
KO04172	sdaC,sdaB,ygdG
KO04280	diaA,yraP
KO04284	yhbU,yhbV
KO05021	ymgI,ymgG,ymgD
KO04772	frmR,frmA,frmB
KO04770	mhpR,lacI
KO04911	fiu,ybiX
KO04914	glnH,glnP,glnQ
KO04598	hfq,hflX,hflK,hflC
KO04597	miaA,hfq,hflX,hflK,hflC
KO04596	mutL,miaA,hfq,hflX,hflK,hflC
KO04595	tsaE,amiB,mutL,miaA,hfq,hflX,hflK,hflC
KO04594	nnr,tsaE,amiB,mutL,miaA,hfq,hflX,hflK,hflC
KO04591	yjeM,yjeN,yjeO
KO04608	rpsF,priB,rpsR,rplI
KO04607	ulaA,ulaB,ulaC,ulaD,ulaE,ulaF
KO04358	rsmD,yhhL
KO04604	yjfK,yjfL,yjfM,yjfC
KO04603	yjfI,yjfJ
KO04601	nsrR,rnr,rlmB
KO04820	folD,ybcJ
KO03259	dksA,gluQ
KO06190	dnaT,dnaC
KO06195	yadV,htrE
KO06194	dnaN,recF
KO06197	mprA,emrA,emrB
KO06196	lexA,dinF
KO06199	tar,tap,cheR,cheB,cheY,cheZ
KO06043	yjjI,yjjW
KO06044	ytjB,lplA
KO03748	ynbA,ynbB,ynbC,ynbD
KO04686	rapA,rluA
KO03742	paaX,paaY
KO05969	psd,mscM
KO05968	frdA,frdB,frdC,frdD
KO05415	yfdV,yfdE
KO05414	emrK,emrY
KO05416	frc,oxc
KO05412	yfdN,yfdK
KO04157	norV,norW
KO05561	recB,recD
KO05565	lgt,thyA
KO05564	ppdA,ppdB,ygdB,ppdC
KO05566	rppH,ptsP,lgt,thyA
KO05341	yehU,yehT
KO05342	osmF,yehY,yehX,yehW
KO05745	glpE,glpG
KO05747	glgA,glgP
KO05740	ompR,envZ
KO05743	rtcB,rtcA
KO05742	malP,malQ
KO05749	glgB,glgX,glgC,glgA,glgP
KO05748	glgC,glgA,glgP
KO05989	treR,treB,treC
KO05988	nrdD,nrdG
KO04153	srlE,srlB,srlD
KO03928	fliD,fliS,fliT
KO05188	ydhY,ydhV,ydhW,ydhX,ydhU,ydhT
KO04166	queD,ygcN,ygcO,ygcP
KO04167	yqcE,ygcE
KO04164	ygbJ,ygbK,ygbL,ygbM,ygbN
KO04160	hypE,fhlA
KO05053	yciC,yciB
KO05896	glpF,glpK
KO04290	ispB,sfsB
KO04291	yrbG,kdsD
KO04292	kdsC,lptC
KO04293	lptA,lptB
KO04294	rpoN,hpf,ptsN,yhbJ,npr
KO04295	hpf,ptsN,yhbJ,npr
KO04298	gltB,gltD
KO04761	betI,betB,betA
KO04768	lacY,lacA
KO04769	lacZ,lacY,lacA
KO04901	bioA,ybhB
KO04904	ybhP,clsB,ybhN
KO04905	ybhF,ybhS,ybhR
KO04906	ybiH,ybhG,ybhF,ybhS,ybhR
KO04580	yjdI,yjdJ
KO04581	yjdK,yjdO
KO04583	groS,groL
KO04618	ytfQ,ytfR,ytfT,yjfF
KO04616	tamA,tamB,ytfP
KO04617	chpS,chpB
KO04343	feoA,feoB,feoC
KO04836	ybdJ,ybdF
KO04831	nfrA,ybcH
KO04832	nfrB,nfrA,ybcH
KO04833	cusR,cusS
KO04838	fepA,entD
KO04839	fepD,fepG,fepC
KO05573	araE,ygeA
KO03246	ybjC,nfsA
KO03247	artP,artI,artQ,artM
KO03244	araF,araG,araH
