koid	op
KO06081	rpmH,rnpA
KO04208	scpA,argK,scpB,scpC
KO03568	clpS,clpA
KO03303	aceE,aceF,lpd
KO03302	pdhR,aceE,aceF,lpd
KO03301	ampD,ampE
KO03309	yadG,yadH,yadI
KO04842	ybdN,ybdM
KO04848	citC,citD,citE,citF,citX,citG,citT
KO04518	yiiS,uspD
KO03522	tolB,pal,ybgF
KO03521	ybgC,tolQ,tolR,tolA
KO06139	pheM,pheS,pheT,ihfA
KO06138	treB,treC
KO06134	sdaC,sdaB
KO06132	zraS,zraR
KO06131	relA,mazE,mazF
KO06130	lsrA,lsrC,lsrD,lsrB,lsrF,lsrG,tam
KO03635	flgG,flgH,flgI,flgJ
KO03634	flgB,flgC,flgD,flgE,flgF
KO03632	rimJ,yceH,yceM,murJ
KO03639	yceD,rpmF
KO05819	waaQ,waaG,waaP,waaS,waaB,waaR,waaJ,waaY,waaZ,waaU
KO05818	waaG,waaP,waaS,waaB,waaR,waaJ,waaY,waaZ,waaU
KO05811	kbl,tdh
KO05815	waaJ,waaY,waaZ,waaU
KO05814	waaY,waaZ,waaU
KO05817	waaP,waaS,waaB,waaR,waaJ,waaY,waaZ,waaU
KO05816	waaB,waaR,waaJ,waaY,waaZ,waaU
KO05903	metJ,yiiX
KO05251	yobA,yebZ,yebY
KO05255	yebG,yebF
KO05495	aroF,tyrA
KO05494	rluD,yfiH
KO05496	rpsP,rimM,trmD,rplS
KO05499	ratA,ratB
KO04359	yhhN,zntA
KO05675	rbfA,truB,rpsO
KO05676	rimP,nusA,infB,rbfA,truB,rpsO
KO05102	mokB,hokB
KO05109	mnaT,ydcZ
KO03899	manY,manZ
KO03898	manX,manY,manZ
KO03892	yeaV,yeaW,yeaX
KO03895	pabB,nudL
KO04073	murQ,murP
KO04075	amiA,hemF
KO04078	yffM,yffN
KO04079	yffO,yffP
KO05692	elbB,mtgA
KO04678	caiD,caiE
KO04679	caiC,caiD,caiE
KO04676	hokC
KO04675	yaaI,yaaW
KO04476	yifL,dapF,yigA,xerC,yigB
KO04470	wecB,wecC,rffG,rffH,wecD,wecE,wzxE,wzyE,wecG
KO04694	hofB,hofC
KO04690	sgrR,thiB,thiP,thiQ
KO04691	leuL,leuA,leuB,leuC,leuD
KO04692	zapD,yacG
KO04693	coaE,zapD,yacG
KO04699	speE,speD
KO05263	aspS,nudB,yebC
KO04212	galP,yggI,endA
KO04213	rsmE,gshB
KO04214	yqgE,yqgF
KO04215	yggS,yggT,yggU,rdgB,yggW
KO04216	rdgB,yggW
KO04217	yggX,mltC
KO05261	ruvA,ruvB
KO03314	fhuA,fhuC,fhuD,fhuB
KO03315	fhuC,fhuD,fhuB
KO03319	degP,cdaR
KO04857	rsfS,rlmH,mrdA,mrdB,rlpA
KO04858	nadD,cobC
KO04859	leuS,lptE,holA,nadD,cobC
KO04509	rhaS,rhaR
KO03760	tehA,tehB
KO03530	modA,modB,modC
KO03532	ybhH,ybhI,ybhJ
KO03535	moaA,moaB,moaC,moaD,moaE
KO03536	moaB,moaC,moaD,moaE
KO06128	ileS,lspA,fkpB,ispH
KO06129	hcaE,hcaF,hcaC,hcaB,hcaD
KO06126	lspA,fkpB,ispH
KO06127	ribF,ileS,lspA,fkpB,ispH
KO06120	hypB,hypC,hypD,hypE
KO06121	hypA,hypB,hypC,hypD,hypE
KO06123	lolB,ispE,prs
KO03624	ycdX,ycdY
KO03626	csgB,csgA,csgC,ymdA
KO03623	ghrA,ycdX,ycdY
KO03628	ymdB,clsC
KO03629	opgG,opgH
KO05807	secB,gpsA
KO05804	yibI,yibH
KO05802	selA,selB
KO05808	grxC,secB,gpsA
KO04504	yihX,yihY,dtd,yiiD
KO04500	yihL,yihM
KO03836	ydhI,ydhJ,ydhK
KO03831	ydgK,rsxA,rsxB,rsxC,rsxD,rsxG,rsxE,nth
KO04503	yihV,yihW,yihX,yihY,dtd,yiiD
KO03832	rsxA,rsxB,rsxC,rsxD,rsxG,rsxE,nth
KO05243	yobF,cspC
KO05244	mgrB,yebO
KO05247	proQ,prc
KO05248	msrC,proQ,prc
KO05482	lepA,lepB
KO05483	rseA,rseB,rseC
KO05481	rnc,era,recO,pdxJ,acpS
KO03812	ynfG,ynfH,dmsD
KO04155	srlR,srlQ
KO05068	sapA,sapB,sapC,sapD,sapF,ycjD
KO06192	cmk,rpsA
KO04510	sodA,kdgT
KO05669	yhbT,yhbS
KO05667	yraR,yraQ
KO05662	yhaO,yhaM
KO05663	tdcA,tdcB,tdcC,tdcD,tdcE,tdcF,tdcG
KO05660	uxaC,uxaA,ygjV
KO05114	narU,narZ,narY,narW,narV
KO03880	ansA,pncA
KO03883	yeaG,yeaH
KO04048	gtrA,gtrB,gtrS
KO04247	rpsU,dnaG
KO04246	ttdA,ttdB,ttdT
KO04198	guaD,ygfQ
KO04196	ygfK,ssnA,ygfM,xdhD
KO04997	flgA,flgM,flgN
KO04996	flgM,flgN
KO04994	grxB,yceB
KO04228	yqhD,dkgA
KO03408	yajC,secD,secF
KO03409	secD,secF
KO03404	brnQ,proY
KO03407	queA,tgt
KO03328	fabZ,lpxA,lpxB,rnhB,dnaE
KO03325	rseP,bamA
KO06204	gltB,gltD,gltF
KO03327	skp,lpxD
KO03321	rpsB,tsf
KO06203	serB,radA
KO04533	secE,nusG
KO04532	murB,birA
KO04535	rplJ,rplL,rpoB,rpoC
KO04534	rplK,rplA,rplJ,rplL,rpoB,rpoC
KO04536	rpoB,rpoC
KO04539	hemE,nfi
KO04538	nudC,hemE,nfi
KO03403	phoB,phoR
KO06111	epd,pgk,fbaA
KO06110	upp,uraA
KO06113	rnc,era
KO06112	pdxJ,acpS
KO06114	nuoM,nuoN
KO06116	bcsA,bcsB,bcsZ
KO03611	torC,torA,torD
KO03618	efeO,efeB
KO05871	yigI,rarD
KO05870	yigG,yigF
KO05877	mobA,mobB
KO05876	fadB,fadA
KO03505	rhsC,ybfB
KO03501	seqA,pgm
KO03500	chiP,chiQ
KO05583	yqeC,yqeB
KO05587	sdhE,cptA
KO05586	xerD,dsbC,recJ
KO05585	prfB,lysS
KO05584	ygfT,ygfS
KO05734	dam,rpe,gph,trpS
KO05278	uvrY,uvrC
KO05735	damX,dam,rpe,gph,trpS
KO05905	frwA,fsaB,gldA
KO05270	otsB,otsA
KO05737	hofM,hofN,hofO,hofP,hofQ
KO05479	pgpC,tadA
KO05476	yfhG,glrR
KO05473	yphG,yphF,yphE,yphD,yphC,yphB
KO05472	yphF,yphE,yphD,yphC,yphB
KO05471	yphD,yphC,yphB
KO05470	hcaR,hcaT
KO05294	yedW,yedV
KO05293	yedR,yedJ
KO05292	dcm,vsr
KO05291	yedI,yodC
KO05049	clsA,yciU
KO05613	trmI,yggL
KO05123	dosC,dosP
KO05122	ddpX,ddpA,ddpB,ddpC,ddpD,ddpF
KO05126	gadB,gadC
KO05129	ydeN,ydeM
KO05128	yddA,yddB
KO05055	trpC,trpB,trpA
KO05054	yciG,yciF,yciE
KO05725	yheO,tusD,tusC,tusB
KO05724	rpsL,rpsG,fusA
KO05728	kefG,kefB,yheV
KO04059	ypdA,ypdB
KO04051	yfdP,yfdQ,yfdR,yfdS,yfdT
KO04056	evgA,evgS
KO04054	dsdX,dsdA
KO03983	yehI,yehK
KO03984	yehL,yehM,yehP
KO04456	rbsD,rbsA,rbsC,rbsB
KO04453	cbrB,cbrC
KO04451	yieE,chrR
KO04187	yqeI,yqeJ
KO03423	ybaO,mdlA,mdlB
KO04982	csgD,csgE,csgF,csgG
KO04231	qseB,qseC
KO04988	yceJ,yceI
KO03338	yafD,yafE
KO03332	yaeQ,arfB,nlpE
KO03331	yaeR,tilS
KO04528	fabR,yijD
KO04529	btuB,murI
KO04526	argC,argB,argH
KO04525	frwC,frwB,pflD,pflC,frwD
KO04521	metB,metL
KO03196	gmk,rpoZ,spoT,trmH,recG
KO03197	relB,relE,hokD
KO03195	gspC,gspD,gspE,gspF,gspG,gspH,gspI,gspJ,gspK,gspL,gspM,gspO
KO03192	ispD,ispF
KO03198	alsR,alsB,alsA,alsC,alsE,alsK
KO03199	gabD,gabT,gabP,csiR
KO06104	ychQ,ychA,kdsA
KO03425	glnK,amtB
KO06102	tgt,yajC
KO06100	rpsU,dnaG,rpoD
KO06108	rimP,nusA,infB,rbfA,truB,rpsO,pnp
KO03604	cbdA,cbdB,cbdX,appA
KO03603	hyaA,hyaB,hyaC,hyaD,hyaE,hyaF
KO05864	rhlB,gpp
KO05866	hemX,hemY
KO03512	ybgI,ybgJ,ybgK,ybgL,nei
KO03513	ybgL,nei
KO03511	ybgA,phr
KO03516	sucA,sucB,sucC,sucD
KO03517	mngA,mngB
KO03514	sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD
KO03515	sdhA,sdhB
KO03518	cydA,cydB
KO05592	gcvT,gcvH,gcvP
KO05593	ygfB,pepP,ubiH,ubiI
KO06159	hydN,hypF
KO05268	flhD,flhC
KO05914	thiC,thiE,thiF,thiS,thiG,thiH
KO05260	znuA,mepM
KO05917	purH,purD
KO05266	tar,tap,cheR,cheB,cheY,cheZ,flhB,flhA,flhE
KO05267	motA,motB,cheA,cheW
KO05264	torY,torZ
KO05265	yecM,cutC
KO05468	iscR,iscS,iscU
KO05464	yfhM,pbpC
KO05465	pepB,sseB
KO05466	hscA,fdx,iscX
KO05467	iscA,hscB
KO05460	rodZ,ispG
KO03813	ynfH,dmsD
KO05280	yecS,yecC
KO05281	dcyD,yecS,yecC
KO05283	fliA,fliZ
KO06151	pgk,fbaA
KO03811	ynfF,ynfG,ynfH,dmsD
KO03470	essD,rrrD,rzpD,rzoD
KO03810	ynfE,ynfF,ynfG,ynfH,dmsD
KO06152	fecI,fecR
KO05602	epd,pgk
KO05603	yggD,yggC
KO05604	cmtB,cmtA,yggP,yggF
KO05139	yneF,uxaB
KO05137	lsrR,lsrK
KO05134	ydeS,ydeR
KO05135	hipB,hipA
KO05133	ydeS,ydeR
KO05130	safA,ydeO
KO05067	sapB,sapC,sapD,sapF,ycjD
KO05042	narX,narL
KO05731	yhfZ,yhfY,yhfX,yhfW,php,yhfU,yhfT,yhfS
KO05045	ychJ,purU
KO03270	nhaA,nhaR
KO04747	yagM,yagL
KO04033	alaA,yfbR
KO03996	nfo,yeiI
KO03992	sanA,yeiS
KO03993	preT,preA
KO03990	yohJ,yohK
KO04423	dut,slmA
KO04422	dfp,dut,slmA
KO04420	waaA,coaD
KO04427	rpoZ,spoT,trmH,recG
